,Unnamed: 0,entity,offset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total,log_total,min_5h_activity,min_5h_activity_sin,min_5h_activity_cos,min_5h_activity_%,lifespan_days,region,y_pred,America,Central_Asia,East_Asia_Pac,Euro_Africa
237,291,Entity 1240,7.0,0.0185185185185185,0.0185185185185185,0.0555555555555555,0.0185185185185185,0.037037037037037,0.1111111111111111,0.1481481481481481,0.0185185185185185,0.0185185185185185,0.0185185185185185,0.037037037037037,0.0185185185185185,0.0185185185185185,0.1111111111111111,0.1296296296296296,0.0555555555555555,0.037037037037037,0.0185185185185185,0.0185185185185185,0.0185185185185185,0.0185185185185185,0.0185185185185185,0.0185185185185185,0.0185185185185185,30,3.4011973816621555,19,-0.9659258262890684,0.2588190451025203,0.0925925925925925,119.42497685185184,East_Asia_Pac,East_Asia_Pac,0.11291263,0.2863197,0.5526608,0.048106845
1460,4026,Entity 5748,-5.0,0.0842105263157894,0.031578947368421,0.0526315789473684,0.0631578947368421,0.031578947368421,0.031578947368421,0.0210526315789473,0.0105263157894736,0.0421052631578947,0.0105263157894736,0.0105263157894736,0.0210526315789473,0.0526315789473684,0.0526315789473684,0.031578947368421,0.0210526315789473,0.0421052631578947,0.0631578947368421,0.0631578947368421,0.0947368421052631,0.0631578947368421,0.0526315789473684,0.0421052631578947,0.0105263157894736,71,4.262679877041316,8,0.8660254037844387,-0.4999999999999998,0.0947368421052631,1389.954525462963,America,America,0.73403394,0.06907685,0.053405095,0.1434841
336,432,Entity 1365,7.0,0.0222222222222222,0.0222222222222222,0.0666666666666666,0.0444444444444444,0.0222222222222222,0.0666666666666666,0.0888888888888888,0.0222222222222222,0.0444444444444444,0.0444444444444444,0.0444444444444444,0.0222222222222222,0.0444444444444444,0.0666666666666666,0.0222222222222222,0.1111111111111111,0.0222222222222222,0.0666666666666666,0.0222222222222222,0.0444444444444444,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,21,3.044522437723423,22,-0.5000000000000004,0.8660254037844384,0.1111111111111111,1000.1341203703704,East_Asia_Pac,Central_Asia,0.042795304,0.69003224,0.19631694,0.07085554
1919,4656,Entity 981,1.0,0.0149253731343283,0.0149253731343283,0.044776119402985,0.0149253731343283,0.0149253731343283,0.0149253731343283,0.044776119402985,0.0895522388059701,0.044776119402985,0.044776119402985,0.0149253731343283,0.044776119402985,0.0149253731343283,0.044776119402985,0.0597014925373134,0.0597014925373134,0.0597014925373134,0.0298507462686567,0.0597014925373134,0.0597014925373134,0.0746268656716417,0.0597014925373134,0.044776119402985,0.0298507462686567,43,3.7612001156935615,2,0.4999999999999999,0.8660254037844387,0.1044776119402985,2377.8786226851853,Euro_Africa,Euro_Africa,0.17269357,0.10789434,0.07040357,0.6490085
1104,3233,Entity 385,-5.0,0.1186440677966101,0.1016949152542373,0.0677966101694915,0.0338983050847457,0.0169491525423728,0.0338983050847457,0.0169491525423728,0.0169491525423728,0.0169491525423728,0.0169491525423728,0.0169491525423728,0.0169491525423728,0.0338983050847457,0.0338983050847457,0.0169491525423728,0.0338983050847457,0.0338983050847457,0.0338983050847457,0.0338983050847457,0.0677966101694915,0.0508474576271186,0.0847457627118644,0.0847457627118644,0.0169491525423728,35,3.555348061489413,8,0.8660254037844387,-0.4999999999999998,0.0847457627118644,2949.6501736111118,America,America,0.85927624,0.026166756,0.025346572,0.08921046
476,618,Entity 153,-3.0,0.0868055555555555,0.0729166666666666,0.0555555555555555,0.0381944444444444,0.0138888888888888,0.0138888888888888,0.0243055555555555,0.0486111111111111,0.0208333333333333,0.0173611111111111,0.0486111111111111,0.0034722222222222,0.0034722222222222,0.0034722222222222,0.0034722222222222,0.0486111111111111,0.0625,0.0590277777777777,0.0868055555555555,0.0520833333333333,0.0520833333333333,0.0590277777777777,0.0625,0.0625,264,5.575949103146316,12,1.2246467991473532e-16,-1.0,0.0624999999999999,160.22180555555556,America,America,0.80682534,0.025960363,0.048502322,0.11871203
1841,4537,Entity 9020,7.0,0.0384615384615384,0.0384615384615384,0.0256410256410256,0.0384615384615384,0.0128205128205128,0.0384615384615384,0.0512820512820512,0.0641025641025641,0.0769230769230769,0.0641025641025641,0.0384615384615384,0.0384615384615384,0.0641025641025641,0.1025641025641025,0.0641025641025641,0.0897435897435897,0.0256410256410256,0.0256410256410256,0.0384615384615384,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0128205128205128,54,3.9889840465642745,21,-0.7071067811865477,0.7071067811865474,0.0641025641025641,569.9066435185185,East_Asia_Pac,East_Asia_Pac,0.07199666,0.2940386,0.5094626,0.12450218
1494,4077,Entity 606,0.0,0.0566037735849056,0.0377358490566037,0.0188679245283018,0.0188679245283018,0.0188679245283018,0.0188679245283018,0.0188679245283018,0.0188679245283018,0.0188679245283018,0.0377358490566037,0.0377358490566037,0.0377358490566037,0.0188679245283018,0.0754716981132075,0.0377358490566037,0.0754716981132075,0.0377358490566037,0.0754716981132075,0.0377358490566037,0.0566037735849056,0.1320754716981132,0.0566037735849056,0.0377358490566037,0.0188679245283018,29,3.367295829986474,4,0.8660254037844386,0.5000000000000001,0.0943396226415094,2236.088854166667,Euro_Africa,Euro_Africa,0.1529219,0.045402475,0.034116548,0.7675591
1918,4653,Entity 98,5.5,0.0057471264367816,0.0114942528735632,0.0603448275862069,0.0718390804597701,0.0603448275862069,0.0660919540229885,0.0316091954022988,0.0718390804597701,0.0804597701149425,0.043103448275862,0.0459770114942528,0.0488505747126436,0.0488505747126436,0.0517241379310344,0.043103448275862,0.057471264367816,0.0689655172413793,0.0545977011494252,0.043103448275862,0.0114942528735632,0.0086206896551724,0.0028735632183908,0.0057471264367816,0.0057471264367816,324,5.780743515792329,22,-0.5000000000000004,0.8660254037844384,0.028735632183908,3361.928726851852,Central_Asia,Central_Asia,0.035156332,0.6799863,0.23955742,0.04529995
820,1589,Entity 240,3.0,0.0238095238095238,0.0238095238095238,0.0476190476190476,0.0476190476190476,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.0476190476190476,0.0714285714285714,0.1428571428571428,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.0476190476190476,0.0238095238095238,0.0476190476190476,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.0476190476190476,18,2.8903717578961645,5,0.9659258262890684,0.2588190451025207,0.1428571428571428,700.9593287037037,Euro_Africa,East_Asia_Pac,0.11136535,0.34796384,0.36530778,0.17536305
1449,4012,Entity 565,8.0,0.075268817204301,0.086021505376344,0.0967741935483871,0.086021505376344,0.021505376344086,0.043010752688172,0.032258064516129,0.021505376344086,0.043010752688172,0.032258064516129,0.043010752688172,0.053763440860215,0.053763440860215,0.075268817204301,0.032258064516129,0.064516129032258,0.021505376344086,0.021505376344086,0.010752688172043,0.021505376344086,0.010752688172043,0.010752688172043,0.010752688172043,0.032258064516129,69,4.23410650459726,20,-0.8660254037844386,0.5000000000000001,0.064516129032258,1055.3893287037038,East_Asia_Pac,East_Asia_Pac,0.09401206,0.10206678,0.6683477,0.1355734
1825,4517,Entity 889,-8.0,0.0526315789473684,0.0701754385964912,0.0175438596491228,0.0526315789473684,0.0350877192982456,0.1228070175438596,0.0350877192982456,0.0175438596491228,0.0175438596491228,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0701754385964912,0.0175438596491228,0.0175438596491228,0.0175438596491228,0.0175438596491228,0.0350877192982456,0.0175438596491228,0.0526315789473684,0.0175438596491228,0.0526315789473684,0.0701754385964912,0.0350877192982456,33,3.49650756146648,15,-0.7071067811865471,-0.7071067811865479,0.1052631578947368,421.9108796296296,America,America,0.33898675,0.06825911,0.3283652,0.26438892
519,689,Entity 1590,1.0,0.0512820512820512,0.0512820512820512,0.0256410256410256,0.0512820512820512,0.0512820512820512,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.0512820512820512,0.1282051282051282,0.0512820512820512,0.0256410256410256,0.0512820512820512,0.0256410256410256,0.0769230769230769,0.0256410256410256,0.0256410256410256,0.0512820512820512,0.0256410256410256,0.0256410256410256,0.0512820512820512,0.0256410256410256,0.0256410256410256,15,2.70805020110221,6,1.0,6.123233995736766e-17,0.1538461538461538,112.37039351851853,Euro_Africa,East_Asia_Pac,0.24507324,0.16119236,0.37949982,0.2142346
600,823,Entity 1708,-6.0,0.0491803278688524,0.0327868852459016,0.0327868852459016,0.0163934426229508,0.1311475409836065,0.0655737704918032,0.0163934426229508,0.0327868852459016,0.0327868852459016,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0491803278688524,0.0655737704918032,0.0655737704918032,0.081967213114754,0.0655737704918032,0.0491803278688524,0.0327868852459016,37,3.610917912644224,11,0.258819045102521,-0.9659258262890682,0.0983606557377049,810.6342592592592,America,America,0.76897913,0.031109754,0.046698425,0.15321268
718,1119,Entity 1970,8.0,0.0145631067961165,0.0436893203883495,0.0339805825242718,0.058252427184466,0.0825242718446602,0.0388349514563106,0.0388349514563106,0.0485436893203883,0.0728155339805825,0.0776699029126213,0.0339805825242718,0.0436893203883495,0.0436893203883495,0.0533980582524271,0.0728155339805825,0.0776699029126213,0.0533980582524271,0.0631067961165048,0.0194174757281553,0.0097087378640776,0.0048543689320388,0.0048543689320388,0.0048543689320388,0.0048543689320388,182,5.204006687076795,21,-0.7071067811865477,0.7071067811865474,0.029126213592233,1704.197534722222,East_Asia_Pac,East_Asia_Pac,0.04237297,0.407349,0.50277853,0.047499534
664,960,Entity 1828,1.0,0.024390243902439,0.024390243902439,0.024390243902439,0.024390243902439,0.024390243902439,0.024390243902439,0.024390243902439,0.024390243902439,0.024390243902439,0.0975609756097561,0.024390243902439,0.024390243902439,0.024390243902439,0.048780487804878,0.048780487804878,0.0975609756097561,0.073170731707317,0.024390243902439,0.048780487804878,0.048780487804878,0.073170731707317,0.048780487804878,0.073170731707317,0.024390243902439,17,2.833213344056216,2,0.4999999999999999,0.8660254037844387,0.1219512195121951,2448.217974537037,Euro_Africa,Euro_Africa,0.1513719,0.0922778,0.042100295,0.71424997
193,234,Entity 119,5.5,0.0232558139534883,0.0406976744186046,0.0406976744186046,0.0581395348837209,0.0232558139534883,0.0174418604651162,0.0290697674418604,0.0290697674418604,0.0465116279069767,0.0465116279069767,0.0232558139534883,0.0290697674418604,0.0813953488372093,0.0523255813953488,0.0872093023255814,0.0406976744186046,0.0348837209302325,0.0697674418604651,0.0872093023255814,0.0697674418604651,0.0174418604651162,0.0232558139534883,0.0174418604651162,0.0116279069767441,148,4.997212273764115,22,-0.5000000000000004,0.8660254037844384,0.0930232558139534,836.4835069444445,Central_Asia,Central_Asia,0.09755559,0.5288656,0.20977919,0.16379966
593,803,Entity 1692,1.0,0.0555555555555555,0.037037037037037,0.0185185185185185,0.0185185185185185,0.037037037037037,0.037037037037037,0.0185185185185185,0.0185185185185185,0.0185185185185185,0.0185185185185185,0.037037037037037,0.0185185185185185,0.074074074074074,0.074074074074074,0.0185185185185185,0.0555555555555555,0.1111111111111111,0.037037037037037,0.0555555555555555,0.0555555555555555,0.0185185185185185,0.074074074074074,0.037037037037037,0.0555555555555555,30,3.4011973816621555,7,0.9659258262890684,-0.2588190451025206,0.1111111111111111,1576.7203587962963,Euro_Africa,America,0.62583345,0.037742734,0.07828866,0.2581352
1360,3885,Entity 48,0.0,0.0384615384615384,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0576923076923076,0.0192307692307692,0.0769230769230769,0.0576923076923076,0.0769230769230769,0.0576923076923076,0.0384615384615384,0.0769230769230769,0.0576923076923076,0.0576923076923076,0.0576923076923076,0.0961538461538461,0.0384615384615384,0.0192307692307692,0.0192307692307692,0.0192307692307692,28,3.332204510175204,3,0.7071067811865475,0.7071067811865476,0.0961538461538461,2823.8156365740742,Euro_Africa,Euro_Africa,0.15529157,0.24582864,0.0825168,0.51636297
260,322,Entity 1268,8.0,0.0273037542662116,0.0068259385665529,0.0409556313993174,0.0341296928327645,0.0375426621160409,0.098976109215017,0.0853242320819112,0.1399317406143344,0.0204778156996587,0.030716723549488,0.0273037542662116,0.0102389078498293,0.0136518771331058,0.0341296928327645,0.0443686006825938,0.0750853242320819,0.098976109215017,0.0580204778156996,0.0409556313993174,0.0204778156996587,0.0136518771331058,0.0034129692832764,0.0034129692832764,0.0341296928327645,269,5.594711379601839,21,-0.7071067811865477,0.7071067811865474,0.0750853242320819,372.9171759259259,East_Asia_Pac,East_Asia_Pac,0.19288357,0.31961843,0.373774,0.113724045
119,149,Entity 11126,7.0,0.0983606557377049,0.081967213114754,0.0491803278688524,0.0163934426229508,0.081967213114754,0.0327868852459016,0.0491803278688524,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.081967213114754,0.0491803278688524,0.0983606557377049,0.0163934426229508,0.0491803278688524,0.0327868852459016,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0983606557377049,37,3.610917912644224,9,0.7071067811865476,-0.7071067811865475,0.0819672131147541,1449.925011574074,East_Asia_Pac,East_Asia_Pac,0.36554796,0.083799765,0.47235516,0.07829716
1848,4546,Entity 907,7.0,0.1333333333333333,0.0333333333333333,0.05,0.0166666666666666,0.0833333333333333,0.05,0.0333333333333333,0.0166666666666666,0.0333333333333333,0.05,0.05,0.0166666666666666,0.0166666666666666,0.1166666666666666,0.0666666666666666,0.05,0.0333333333333333,0.0333333333333333,0.0166666666666666,0.0333333333333333,0.0166666666666666,0.0166666666666666,0.0166666666666666,0.0166666666666666,36,3.58351893845611,20,-0.8660254037844386,0.5000000000000001,0.1,690.6014351851852,East_Asia_Pac,East_Asia_Pac,0.16139933,0.28246614,0.44486228,0.11127222
886,1864,Entity 263,2.0,0.0212765957446808,0.0212765957446808,0.0212765957446808,0.0212765957446808,0.0212765957446808,0.0212765957446808,0.0425531914893617,0.0212765957446808,0.0212765957446808,0.0638297872340425,0.0212765957446808,0.0425531914893617,0.0425531914893617,0.1276595744680851,0.0425531914893617,0.0212765957446808,0.0851063829787234,0.0425531914893617,0.1063829787234042,0.0425531914893617,0.0212765957446808,0.0425531914893617,0.0425531914893617,0.0425531914893617,23,3.1354942159291497,2,0.4999999999999999,0.8660254037844387,0.1063829787234042,2214.747071759259,Euro_Africa,Euro_Africa,0.11255292,0.06508358,0.081829906,0.74053365
